universe,ptm,radius,n_proteins,n_sites,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,mean_effect,fold_of_equal_protein_means,population_ci_low,population_ci_high,population_t_p_greater,population_log10_p_greater,exact_selection_null_se,exact_selection_z,exact_selection_p_greater,exact_selection_log10_p_greater,weighting,global_bh_q_population,global_bh_q_exact_null,primary_holm_p_population,primary_holm_p_exact_null
all_eligible_residues,phospho,15,12404,177045,0.18790433516653707,0.07123841579879592,0.11666591936774111,2.6376826752752276,0.1135211887027756,0.11981065003270662,0.0,-inf,0.000737244067896293,158.24599267464342,0.0,-5440.354958479902,equal_protein,0.0,0.0,,
all_eligible_residues,ubiquitination,15,5613,57754,0.14281865377145464,0.0872423696599126,0.05557628411154205,1.6370331792704509,0.05170738520002969,0.05944518302305441,1.275859791123079e-163,-162.89419704919422,0.0012129792082266272,45.8180022663327,0.0,-457.9152190476601,equal_protein,3.223224735468831e-163,0.0,,
all_eligible_residues,acetylation,20,4106,33739,0.20845303769247697,0.1060850651109078,0.10236797258156913,1.9649612080130925,0.09596666121224096,0.1087692839508973,6.200745553586914e-194,-193.20755608947877,0.0016718419621101317,61.23065152184863,0.0,-816.3130220897176,equal_protein,2.7057798779288356e-193,0.0,,
all_eligible_residues,oglcnac,20,1057,9283,0.3892209933249197,0.06630790826014053,0.32291308506477917,5.869903055875628,0.3051591862840814,0.34066698384547695,5.988458478854963e-184,-183.22268495729116,0.003122166600183472,103.4259622935571,0.0,-2325.2225259675547,equal_protein,1.9163067132335885e-183,0.0,,
all_eligible_residues,phospho,20,12404,177045,0.2168659434643217,0.09325448326069558,0.12361146020362608,2.3255283379574014,0.12030704195194038,0.1269158784553118,0.0,-inf,0.0008262074194772883,149.61310839090575,0.0,-4863.215770463112,equal_protein,0.0,0.0,,
all_eligible_residues,ubiquitination,20,5613,57754,0.17839150106541116,0.11279661442942991,0.06559488663598119,1.5815324065158005,0.06133226725617856,0.06985750601578382,1.0323077678521196e-185,-184.98619080469211,0.0013487719413782494,48.63304508614905,0.0,-515.6770122926962,equal_protein,3.539340918350124e-185,0.0,,
all_eligible_residues,acetylation,25,4106,33739,0.23524658025462242,0.1297032562413238,0.10554332401329858,1.8137291774458335,0.09901575429346446,0.1120708937331327,9.132932895596097e-198,-197.0393897333276,0.0018155579425406141,58.13272137467877,0.0,-735.9939119250214,equal_protein,4.8708975443179175e-197,0.0,,
all_eligible_residues,oglcnac,25,1057,9283,0.4093112678950148,0.08170203214806328,0.32760923574695155,5.009805229241381,0.3097812763369839,0.34543719515691923,1.5376684124850854e-186,-185.81313730702735,0.0034211355042569657,95.76037994966961,0.0,-1993.6314599633904,equal_protein,5.677544907637238e-186,0.0,,
all_eligible_residues,phospho,25,12404,177045,0.24111697025078588,0.1144096581446414,0.12670731210614442,2.107487900592762,0.12331915912516823,0.13009546508712058,0.0,-inf,0.0008965267756974185,141.3313194216395,0.0,-4339.966001970614,equal_protein,0.0,0.0,,
all_eligible_residues,ubiquitination,25,5613,57754,0.21068582285159032,0.1377409667175256,0.07294485613406468,1.529579963553309,0.06838666462699906,0.0775030476411303,1.6706122627249846e-199,-198.77712433508492,0.0014573615897515784,50.05268194731195,0.0,-546.111369464342,equal_protein,1.0023673576349908e-198,0.0,,
