kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
CLK1,32.48036564417184,31.85837300613499,0.6219926380368506,CMGC,4075
NEK3,67.16268466257682,66.49260613496928,0.6700785276075436,Other,4075
ROCK2,56.69193619631911,55.96398282208565,0.727953374233465,AGC,4075
MASTL,55.9516736196318,55.16526134969332,0.7864122699384808,AGC,4075
CK1E,44.51445153374237,43.67790920245398,0.8365423312883848,CK1,4075
CK1A2,42.481717791411064,41.594868711656616,0.8868490797544482,CK1,4075
MST3,60.636611042944786,59.721658895705396,0.91495214723939,STE,4075
KIS,34.09937423312873,33.183631901840556,0.9157423312881718,Other,4075
TSSK1,56.24684907975461,55.296468711656445,0.9503803680981662,CAMK,4075
MELK,59.42627975460134,58.422498159509324,1.0037815950920148,CAMK,4075
DAPK2,51.60937914110442,50.59439263803674,1.0149865030676821,CAMK,4075
VRK1,72.18858159509216,71.06475828220866,1.123823312883502,CK1,4075
AMPKA1,53.53895460122691,52.37215950920246,1.1667950920244508,CAMK,4075
MLK2,69.34018159509215,68.1334380368098,1.2067435582823407,TKL,4075
PRKD3,50.34937914110426,49.13029447852772,1.2190846625765346,CAMK,4075
MAPKAPK3,52.60464294478535,51.37628220858894,1.2283607361964073,CAMK,4075
CDK16,42.55500122699394,41.31114355828217,1.2438576687117688,CMGC,4075
PAK1,52.56598282208576,51.31630429447852,1.2496785276072373,STE,4075
CHAK2,58.314267484662615,57.002981595092,1.3112858895706125,Alpha,4075
SKMLCK,55.57605398772984,54.16296932515334,1.4130846625765017,CAMK,4075
RIPK1,62.858530061349704,61.41358773006131,1.444942331288395,TKL,4075
TTBK1,63.4206895705521,61.972927607362074,1.4477619631900254,CK1,4075
MEKK6,67.85003435582819,66.3772049079754,1.4728294478527886,STE,4075
PKN1,56.24282453987725,54.76738404907981,1.475440490797439,AGC,4075
PAK2,56.72524907975461,55.21384785276071,1.511401226993904,STE,4075
ERK7,47.29493496932512,45.77798282208569,1.5169521472394294,CMGC,4075
PBK,54.49394110429451,52.86178895705512,1.6321521472393883,Other,4075
ASK1,67.12580858895707,65.479263803681,1.6465447852760775,STE,4075
PRP4,47.49579877300606,45.84264539877317,1.653153374232886,CMGC,4075
AAK1,58.63829447852746,56.90540858895706,1.7328858895704045,Other,4075
SSTK,58.155241717791434,56.41015705521477,1.7450846625766658,CAMK,4075
SBK,43.217661349693266,41.4543165644172,1.7633447852760682,Other,4075
CDK10,39.56383558282225,37.790998773006066,1.7728368098161837,CMGC,4075
CDK13,38.80832392638046,36.9512220858897,1.8571018404907633,CMGC,4075
NLK,39.82651779141104,37.932549693251545,1.8939680981594975,CMGC,4075
CRIK,54.02858404907971,52.12979877300608,1.8987852760736317,AGC,4075
WNK4,62.079555828220805,60.15098404907956,1.9285717791412438,Other,4075
LKB1,65.33351901840497,63.37572515337402,1.9577938650309505,CAMK,4075
AMPKA2,53.27376441717785,51.28782085889574,1.9859435582821092,CAMK,4075
SGK3,52.45009079754614,50.45650061349695,1.9935901840491894,AGC,4075
PDK1,61.497492024539696,59.487391411042765,2.010100613496931,AGC,4075
CDK6,46.35883926380368,44.31873128834358,2.040107975460103,CMGC,4075
WNK1,55.35680245398803,53.23669938650307,2.120103067484962,Other,4075
CDK14,42.67358773006144,40.532211042944716,2.1413766871167255,CMGC,4075
PRKD1,50.16125398772997,48.01946503067485,2.1417889570551196,CAMK,4075
IRAK4,70.87768343558271,68.67255705521463,2.2051263803680854,TKL,4075
ULK3,58.947614723926385,56.740238036809764,2.2073766871166214,Other,4075
CDK17,43.884937423313026,41.65964907975462,2.225288343558404,CMGC,4075
GSK3B,38.435806134969354,36.050036809816014,2.3857693251533405,CMGC,4075
